,gene,log2FoldChange,pvalue,mean_NAFL,mean_NASH,t_statistic,padj
511,PIK3R3,0.7010109387542655,5.469900933830953e-11,88.70588235294117,144.82978723404256,7.505469318876374,5.475939136160507e-09
3161,PTPN6,0.5123544048977363,5.6182072545758195e-11,235.72549019607843,336.6595744680851,7.5439109600854115,5.588122660890026e-09
13840,RHOBTB2,0.5168967028162109,5.827684182178386e-11,71.54901960784314,102.80851063829788,7.38250426293921,5.759320963887448e-09
14706,ANGPTL2,0.8406522166308935,5.884443105285461e-11,97.03921568627452,174.5744680851064,7.413129847054334,5.778373207272991e-09
11926,H2AFY,0.4371610509984547,6.057278721643803e-11,351.3529411764706,476.06382978723406,7.3732895118424215,5.910447218454589e-09
13359,HGF,0.869896596124342,6.16160694585088e-11,141.80392156862746,259.97872340425533,7.482597042145921,5.974433602778806e-09
3400,GALNT6,0.8742891791503156,6.303720978884239e-11,15.72549019607843,29.659574468085108,7.541302644926753,6.074029145716145e-09
11958,TMEM173,0.69027380118169,6.511106162050378e-11,85.19607843137256,138.08510638297872,7.566581856732853,6.22594253240546e-09
6936,TNFRSF11A,0.9125720397361323,6.542146268727279e-11,17.333333333333332,33.51063829787234,7.594786318293876,6.22594253240546e-09
2548,DDB1,0.4476899390595377,6.775534723853678e-11,1160.1176470588234,1582.595744680851,7.452827150954989,6.408491953230194e-09
6346,DHX8,0.525774116758451,6.959901214502749e-11,185.72549019607843,267.82978723404256,7.447004622947911,6.473542380836725e-09
11488,TLR3,0.5933090868450202,6.911249673002937e-11,142.80392156862746,215.95744680851064,7.347369501459132,6.473542380836725e-09
11660,PLK2,0.556718699849806,6.97027978996495e-11,227.2549019607843,334.74468085106383,7.373125374002065,6.473542380836725e-09
4396,RTN1,0.899196203818518,7.225045002147065e-11,22.215686274509803,42.297872340425535,7.409200345960101,6.669971185515047e-09
14712,FAM129B,0.6954347636182784,7.512581717708355e-11,327.62745098039215,531.1702127659574,7.37767795487026,6.853341558692882e-09
1353,FMOD,1.0505483604980574,7.50500232873519e-11,68.70588235294117,143.38297872340425,7.699784251850023,6.853341558692882e-09
8798,COL5A2,0.8796619656150358,7.983553368332446e-11,244.2549019607843,450.25531914893617,7.435369113408638,7.240143663504783e-09
11199,SEC31A,0.4902282089142378,8.134721520014431e-11,1224.0196078431372,1719.7446808510638,7.370127611917719,7.334093665149852e-09
12193,SQSTM1,0.49003302746220057,8.247043937272081e-11,3024.764705882353,4248.617021276596,7.304494363695074,7.392132347728121e-09
13666,ZYX,0.6070459495232742,8.680306268751036e-11,372.4313725490196,567.7872340425532,7.3608862387579705,7.735507615337266e-09
1271,LAMC1,0.5284360407098154,9.123054779848971e-11,418.7450980392157,604.4255319148937,7.281523264650549,7.958301309971501e-09
14602,KLF4,0.7254587529165026,9.136792708470882e-11,28.313725490196077,47.46808510638298,7.316216905911167,7.958301309971501e-09
3273,BCAT1,1.306515451801533,9.046076085882102e-11,19.980392156862745,50.8936170212766,7.326796055606229,7.958301309971501e-09
8481,TMEM127,0.40057734944295403,9.03225573909039e-11,629.156862745098,830.8297872340426,7.339882329787398,7.958301309971501e-09
7487,GPI,0.5594363612618176,9.52160573297423e-11,1273.9411764705883,1877.872340425532,7.272488989131764,8.110198651119542e-09
4090,ABCC4,1.0182313746096054,9.515297806369989e-11,42.64705882352941,87.40425531914893,7.534578718881766,8.110198651119542e-09
3448,PPP1R1A,-0.7037896222606388,9.485954964494002e-11,1901.862745098039,1167.276595744681,-7.331455278777572,8.110198651119542e-09
9727,GGT5,0.6633933248018387,9.378942366068668e-11,255.15686274509804,404.70212765957444,7.297706291297171,8.110198651119542e-09
2339,AMPD3,0.8147674226578118,1.0066740347190047e-10,28.80392156862745,51.42553191489362,7.329266918016055,8.52741406223236e-09
6683,C1QTNF1,0.5340883794094642,1.0616668513377121e-10,278.4117647058824,403.59574468085106,7.250734428635179,8.944108113154922e-09
15236,TMEM164,0.6239579984084324,1.0748193805093696e-10,57.745098039215684,89.53191489361703,7.271440612135537,9.005701298539648e-09
120,MTOR,0.5515452661384563,1.0857918239335683e-10,576.2745098039215,845.0851063829788,7.27728302369682,9.048460837612876e-09
5682,SLC12A4,0.496622803740431,1.1298714605636e-10,244.54901960784315,345.4468085106383,7.263974695252409,9.365176509413453e-09
5127,UNC45A,0.4213914365371371,1.1612143151521786e-10,241.64705882352942,323.9574468085106,7.245643223831461,9.573497912674406e-09
13721,ABCF2,0.4716139493081021,1.1972679481894888e-10,147.80392156862746,205.3404255319149,7.2242790904521685,9.8182340198071e-09
5114,ZNF710,0.6120879734297255,1.2649901464115849e-10,151.94117647058823,232.7659574468085,7.223807470000928,1.0318705337157357e-08
9941,PACSIN2,0.5148587638425146,1.3376676744900586e-10,427.19607843137254,610.8297872340426,7.20373088848525,1.0854117125059597e-08
1671,VIM,0.780568588387893,1.4272869520550215e-10,817.2745098039215,1404.6382978723404,7.3915774134378935,1.152067169624726e-08
9766,AP1B1,0.5079316318214753,1.4541050679948292e-10,585.0,832.2978723404256,7.203378839773522,1.16155118307131e-08
2558,DAGLA,1.069486647339332,1.447199580180665e-10,11.196078431372548,24.595744680851062,7.462004220463427,1.16155118307131e-08
3031,VWA5A,0.799518796382601,1.4748888845869986e-10,50.84313725490196,89.23404255319149,7.315432634852622,1.1720805120452451e-08
2838,PRCP,0.4030653365898463,1.542535571440032e-10,1404.8039215686274,1857.9148936170213,7.226442350969089,1.2195523540969729e-08
11600,DAB2,0.5014002419382472,1.5579159841454582e-10,428.0980392156863,606.4255319148937,7.279014732790298,1.2254280983454352e-08
13713,NOS3,0.6910468502579586,1.624043163999069e-10,54.588235294117645,88.74468085106383,7.17541218524968,1.2709580436230275e-08
8688,TANC1,0.6117172679705154,1.6630040021996757e-10,122.92156862745098,188.36170212765958,7.163030937760521,1.2886265841348392e-08
6211,SLFN11,0.7979734667560258,1.6633371618527146e-10,57.1764705882353,100.14893617021276,7.2871917442130165,1.2886265841348392e-08
13004,THBS2,1.57338983924934,1.680058703063444e-10,62.07843137254902,186.72340425531914,7.5308327199063845,1.2950732512564558e-08
14328,FOCAD,0.5661473687016363,1.6913338341922797e-10,98.58823529411765,146.4468085106383,7.177635261822438,1.2972782946140485e-08
4978,PKM,0.8952064922238202,1.712052641232504e-10,227.23529411764707,423.48936170212767,7.385185510145509,1.3002322940828331e-08
11631,NNT,0.4869570971101705,1.7081033709197838e-10,2344.823529411765,3286.6382978723404,7.166961981346179,1.3002322940828331e-08
13942,MCM4,0.7753626901407493,1.7553953006666132e-10,129.0,221.51063829787233,7.195282126392191,1.3266141838420184e-08
12068,GM2A,0.5061962514584192,1.7863452322577671e-10,419.5882352941176,596.3617021276596,7.198587202858993,1.3434187534496585e-08
789,CSF1,0.5410999465873982,1.8240412721667432e-10,183.31372549019608,267.1914893617021,7.135764899639937,1.3609674152498518e-08
2160,HTRA1,0.5154557873957575,1.8273351167978162e-10,597.0,853.8085106382979,7.17101030734443,1.3609674152498518e-08
13225,OGDH,0.5056657526267396,1.8631768051764775e-10,762.5294117647059,1083.0425531914893,7.148806474125646,1.3809902310291228e-08
833,OLFML3,0.5739157215354344,1.8969846229067158e-10,181.7843137254902,271.0851063829787,7.183475865486513,1.3926577110168017e-08
13816,ATP6V1B2,0.4133828926812559,1.8905726928873997e-10,577.7058823529412,769.7234042553191,7.1412783434376035,1.3926577110168017e-08
11518,LPCAT1,0.6021000384412474,1.9236764679166404e-10,113.68627450980392,173.08510638297872,7.150584050818541,1.4055601945910353e-08
10524,FSTL1,0.6607703675306896,1.998869393506911e-10,376.88235294117646,596.4042553191489,7.133792572000376,1.4536117660233983e-08
2678,EFEMP2,0.662188495752555,2.00978003681797e-10,76.0,120.85106382978724,7.216149572868328,1.4546844520010632e-08
